iter	Passed	Remaining
405	7746	11332
406	7763	11311
407	7781	11291
408	7800	11271
409	7818	11250
410	7837	11232
411	7855	11211
412	7871	11187
413	7886	11162
414	7902	11139
415	7920	11118
416	7938	11098
417	7954	11075
418	7970	11052
419	7986	11029
420	8001	11005
421	8019	10983
422	8034	10959
423	8050	10936
424	8067	10915
425	8082	10891
426	8097	10866
427	8113	10843
428	8129	10820
429	8144	10796
430	8160	10772
431	8175	10749
432	8190	10725
433	8204	10700
434	8221	10678
435	8237	10655
436	8253	10633
437	8269	10610
438	8284	10586
439	8298	10562
440	8314	10538
441	8329	10514
442	8345	10492
443	8361	10471
444	8379	10450
445	8397	10430
446	8414	10409
447	8429	10386
448	8447	10366
449	8464	10345
450	8483	10326
451	8498	10303
452	8514	10281
453	8529	10258
454	8544	10234
455	8559	10210
456	8575	10188
457	8594	10170
458	8612	10151
459	8629	10130
460	8644	10107
461	8662	10087
462	8679	10066
463	8696	10045
464	8713	10025
465	8732	10006
466	8749	9986
467	8765	9964
468	8783	9944
469	8798	9921
470	8812	9898
471	8827	9875
472	8843	9853
473	8859	9831
474	8875	9809
475	8890	9786
476	8906	9765
477	8921	9742
478	8937	9721
479	8954	9700
480	8971	9679
481	8987	9659
482	9005	9639
483	9023	9619
484	9040	9599
485	9058	9580
486	9076	9560
487	9094	9542
488	9113	9523
489	9131	9504
490	9147	9482
491	9163	9461
492	9179	9440
493	9196	9420
494	9214	9400
495	9230	9379
496	9246	9357
497	9262	9336
498	9277	9314
499	9291	9291
500	9306	9269
501	9320	9246
502	9335	9224
503	9351	9203
504	9368	9182
505	9384	9162
506	9402	9143
507	9419	9123
508	9438	9104
509	9452	9082
510	9469	9061
511	9486	9041
512	9502	9020
513	9516	8998
514	9531	8976
515	9547	8955
516	9564	8935
517	9582	8916
518	9600	8897
519	9617	8877
520	9632	8855
521	9648	8834
522	9662	8812
523	9677	8791
524	9694	8770
525	9710	8750
526	9725	8728
527	9739	8706
528	9753	8684
529	9768	8662
530	9784	8642
531	9800	8621
532	9815	8600
533	9831	8579
534	9846	8557
535	9862	8537
536	9879	8518
537	9895	8497
538	9912	8478
539	9929	8458
540	9946	8438
541	9965	8421
542	9980	8399
543	9996	8379
544	10014	8360
545	10031	8341
546	10049	8322
547	10065	8302
548	10082	8282
549	10100	8264
550	10118	8245
551	10135	8226
552	10153	8206
553	10170	8187
554	10186	8167
555	10204	8148
556	10221	8129
557	10239	8110
558	10256	8091
559	10274	8072
560	10289	8051
561	10305	8031
562	10323	8012
563	10343	7996
564	10360	7976
565	10376	7956
566	10391	7935
567	10407	7915
568	10424	7896
569	10440	7876
570	10458	7857
571	10475	7838
572	10492	7818
573	10510	7800
574	10527	7781
575	10544	7762
576	10562	7743
577	10578	7723
578	10599	7706
579	10633	7700
580	10667	7693
581	10691	7678
582	10714	7663
583	10739	7649
584	10760	7633
585	10780	7616
586	10798	7597
587	10817	7579
588	10836	7561
589	10855	7543
590	10873	7525
591	10890	7505
592	10906	7485
593	10924	7466
594	10941	7447
595	10959	7428
596	10976	7409
597	10993	7390
598	11011	7371
599	11027	7351
600	11045	7332
601	11063	7314
602	11080	7295
603	11097	7275
604	11115	7256
605	11132	7238
606	11150	7219
607	11166	7199
608	11183	7180
609	11200	7161
610	11217	7141
611	11237	7124
612	11254	7105
613	11272	7086
614	11288	7066
615	11310	7050
616	11331	7033
617	11347	7014
618	11363	6994
619	11378	6974
620	11396	6955
621	11415	6937
622	11434	6919
623	11450	6899
624	11468	6881
625	11485	6861
626	11504	6843
627	11521	6824
628	11539	6806
629	11557	6787
630	11578	6771
631	11597	6752
632	11614	6733
633	11633	6715
634	11652	6697
635	11670	6679
636	11687	6660
637	11707	6642
638	11724	6623
639	11743	6605
640	11759	6586
641	11776	6567
642	11793	6547
643	11811	6529
644	11827	6509
645	11845	6491
646	11862	6471
647	11877	6451
648	11894	6432
649	11909	6412
650	11925	6393
651	11942	6374
652	11959	6355
653	11973	6334
654	11989	6314
655	12003	6294
656	12020	6275
657	12035	6255
658	12049	6235
659	12064	6215
660	12080	6195
661	12096	6176
662	12113	6157
663	12129	6138
664	12148	6119
665	12166	6101
666	12183	6082
667	12201	6064
668	12216	6044
669	12234	6025
670	12251	6007
671	12269	5988
672	12286	5969
673	12303	5951
674	12322	5933
675	12340	5914
676	12355	5894
677	12372	5875
678	12390	5857
679	12405	5837
680	12421	5818
681	12437	5799
682	12453	5779
683	12468	5760
684	12483	5740
685	12501	5722
686	12518	5703
687	12536	5685
688	12553	5666
689	12570	5647
690	12588	5629
691	12604	5610
692	12623	5592
693	12640	5573
694	12656	5554
695	12673	5535
696	12690	5516
697	12708	5498
698	12725	5479
699	12741	5460
700	12759	5442
701	12775	5423
702	12793	5404
703	12810	5386
704	12825	5366
705	12843	5348
706	12864	5331
707	12893	5317
708	12912	5299
709	12928	5280
710	12944	5261
711	12961	5242
712	12978	5224
713	12997	5206
714	13014	5187
715	13028	5167
716	13044	5148
717	13059	5129
718	13076	5110
719	13094	5092
720	13109	5072
721	13127	5054
722	13145	5036
723	13164	5018
724	13181	4999
725	13198	4981
726	13219	4964
727	13236	4945
728	13254	4927
729	13271	4908
730	13288	4889
731	13306	4871
732	13323	4853
733	13340	4834
734	13358	4816
735	13375	4797
736	13392	4779
737	13409	4760
738	13427	4742
739	13445	4723
740	13459	4704
741	13473	4684
742	13490	4666
743	13507	4647
744	13525	4629
745	13542	4610
746	13560	4592
747	13580	4575
748	13596	4556
749	13610	4536
750	13629	4519
751	13646	4500
752	13663	4481
753	13681	4463
754	13699	4445
755	13716	4426
756	13732	4408
757	13748	4389
758	13765	4370
759	13782	4352
760	13798	4333
761	13814	4314
762	13830	4296
763	13847	4277
764	13865	4259
765	13882	4240
766	13900	4222
767	13916	4203
768	13933	4185
769	13950	4167
770	13970	4149
771	13988	4131
772	14005	4112
773	14025	4095
774	14044	4077
775	14062	4059
776	14080	4041
777	14098	4022
778	14118	4005
779	14137	3987
780	14158	3970
781	14176	3952
782	14197	3934
783	14217	3917
784	14238	3899
785	14254	3880
786	14274	3863
787	14294	3845
788	14313	3827
789	14338	3811
790	14381	3799
791	14411	3784
792	14434	3767
793	14458	3751
794	14482	3734
795	14498	3715
796	14517	3697
797	14534	3679
798	14551	3660
799	14576	3644
800	14592	3625
801	14610	3607
802	14628	3588
803	14646	3570
804	14666	3552
805	14682	3534
806	14701	3516
807	14721	3498
808	14739	3479
809	14757	3461
810	14775	3443
811	14795	3425
812	14815	3407
813	14832	3389
814	14850	3370
815	14867	3352
816	14884	3333
817	14899	3315
818	14917	3296
819	14933	3278
820	14952	3259
821	14973	3242
822	14990	3223
823	15007	3205
824	15023	3186
825	15040	3168
826	15057	3149
827	15073	3131
828	15091	3113
829	15108	3094
830	15124	3075
831	15142	3057
832	15161	3039
833	15177	3021
834	15194	3002
835	15212	2984
836	15229	2965
837	15248	2947
838	15265	2929
839	15282	2911
840	15300	2892
841	15318	2874
842	15336	2856
843	15353	2837
844	15369	2819
845	15386	2800
846	15403	2782
847	15420	2764
848	15437	2745
849	15455	2727
850	15473	2709
851	15492	2691
852	15509	2672
853	15527	2654
854	15543	2636
855	15562	2618
856	15578	2599
857	15598	2581
858	15615	2563
859	15631	2544
860	15647	2526
861	15663	2507
862	15680	2489
863	15698	2471
864	15714	2452
865	15732	2434
866	15748	2415
867	15764	2397
868	15782	2379
869	15799	2360
870	15817	2342
871	15835	2324
872	15852	2306
873	15877	2288
874	15924	2274
875	15945	2257
876	15966	2239
877	15989	2221
878	16012	2204
879	16028	2185
880	16046	2167
881	16065	2149
882	16085	2131
883	16105	2113
884	16125	2095
885	16145	2077
886	16160	2058
887	16176	2040
888	16192	2021
889	16208	2003
890	16226	1985
891	16248	1967
892	16267	1949
893	16285	1930
894	16301	1912
895	16317	1894
896	16333	1875
897	16352	1857
898	16369	1839
899	16390	1821
900	16409	1803
901	16428	1784
902	16447	1766
903	16464	1748
904	16483	1730
905	16504	1712
906	16525	1694
907	16544	1676
908	16563	1658
909	16580	1639
910	16600	1621
911	16625	1604
912	16642	1585
913	16660	1567
914	16679	1549
915	16696	1531
916	16715	1512
917	16732	1494
918	16751	1476
919	16769	1458
920	16787	1439
921	16806	1421
922	16823	1403
923	16841	1385
924	16860	1367
925	16879	1348
926	16897	1330
927	16914	1312
928	16931	1294
929	16948	1275
930	16967	1257
931	16984	1239
932	17002	1220
933	17019	1202
934	17037	1184
935	17055	1166
936	17072	1147
937	17092	1129
938	17111	1111
939	17130	1093
940	17149	1075
941	17169	1057
942	17188	1038
943	17208	1020
944	17230	1002
945	17251	984
946	17268	966
947	17285	948
948	17303	929
949	17320	911
950	17342	893
951	17359	875
952	17379	857
953	17398	838
954	17418	820
955	17437	802
956	17457	784
957	17477	766
958	17494	747
959	17512	729
960	17531	711
961	17548	693
962	17576	675
963	17599	657
964	17617	638
965	17636	620
966	17659	602
967	17682	584
968	17704	566
969	17726	548
970	17747	530
971	17767	511
972	17787	493
973	17807	475
974	17826	457
975	17844	438
976	17863	420
977	17881	402
978	17901	383
979	17919	365
980	17938	347
981	17956	329
982	17973	310
983	17991	292
984	18010	274
985	18028	255
986	18047	237
987	18067	219
988	18099	201
989	18126	183
990	18142	164
991	18159	146
992	18187	128
993	18204	109
994	18224	91
995	18245	73
996	18263	54
997	18284	36
998	18304	18
999	18324	0
