iter	MultiClass
113	0.2899495286
114	0.2885989445
115	0.2878175067
116	0.2871768402
117	0.2862584073
118	0.2851214982
119	0.2843788992
120	0.2833920049
121	0.2821271466
122	0.2811835327
123	0.2807838837
124	0.2797397942
125	0.2795727965
126	0.2792078789
127	0.2787843333
128	0.2776770495
129	0.2764865409
130	0.2761235372
131	0.2756039355
132	0.2748928535
133	0.2743721518
134	0.273590433
135	0.2734072771
136	0.2724457337
137	0.271370607
138	0.2707384676
139	0.2687148872
140	0.2676392646
141	0.2660767269
142	0.2637041883
143	0.262786396
144	0.2624189313
145	0.2621758994
146	0.2618462347
147	0.261180867
148	0.2599739655
149	0.2590876865
150	0.2585487727
151	0.2574574968
152	0.2564097319
153	0.2558661934
154	0.2553638714
155	0.2549277485
156	0.2543580791
157	0.2524113057
158	0.2515029152
159	0.2509865127
160	0.25046949
161	0.249357154
162	0.2490812504
163	0.2483590608
164	0.2473771485
165	0.2469886531
166	0.2464686655
167	0.2458211096
168	0.2444927009
169	0.243920273
170	0.24326229
171	0.2425999637
172	0.2422323195
173	0.2410007511
174	0.2405884628
175	0.2393395023
176	0.2389738369
177	0.2384538971
178	0.2376880939
179	0.2365313449
180	0.2357792604
181	0.23537832
182	0.2348679656
183	0.2339437519
184	0.2334530061
185	0.2330731775
186	0.2319916036
187	0.2316961638
188	0.2314228407
189	0.2308852275
190	0.2302406002
191	0.2300284699
192	0.229549169
193	0.2284733381
194	0.2279452653
195	0.2277358935
196	0.2272333202
197	0.2268617206
198	0.2263903225
199	0.2259286162
200	0.2253163118
201	0.2245189205
202	0.2237870497
203	0.2234173493
204	0.2226774866
205	0.2217306036
206	0.2211056969
207	0.2206098798
208	0.2202307651
209	0.2198033941
210	0.2192357242
211	0.218918581
212	0.2186633438
213	0.2182201156
214	0.2174057701
215	0.216525839
216	0.2161108147
217	0.2156637409
218	0.2153244502
219	0.2146178021
220	0.2142994347
221	0.2136493727
222	0.2129409529
223	0.2126072451
224	0.2122692101
225	0.2120590975
226	0.211228669
227	0.2108132244
228	0.2102230813
229	0.2099331264
230	0.2087222282
231	0.2081669416
232	0.2078224835
233	0.2068088165
234	0.2066544953
235	0.2059789799
236	0.2052751272
237	0.2047285476
238	0.2043741709
239	0.2040514701
240	0.2037939535
241	0.2035707237
242	0.2029468922
243	0.2020992102
244	0.2017335106
245	0.201374289
246	0.2006678119
247	0.200445241
248	0.1996448355
249	0.1993560954
250	0.199279608
251	0.1989324216
252	0.1982711722
253	0.1977391448
254	0.1975547223
255	0.1972134401
256	0.1970312978
257	0.1967406734
258	0.1965226416
259	0.1960399873
260	0.1955716878
261	0.1953001818
262	0.1947036033
263	0.1944826514
264	0.1942318348
265	0.1937431645
266	0.1934931248
267	0.1925282315
268	0.1923978314
269	0.1921244117
270	0.1916303333
271	0.1914530872
272	0.1911806455
273	0.190656291
274	0.1904464217
275	0.1899820992
276	0.1895062987
277	0.1889981392
278	0.1879870727
279	0.1870977508
280	0.1860865425
281	0.1856873194
282	0.1845652281
283	0.1842785029
284	0.1840414334
285	0.1837765168
286	0.1832632613
287	0.182972521
288	0.1824023079
289	0.1820440697
290	0.1816251751
291	0.1813015696
292	0.1810365665
293	0.1805751168
294	0.1801247576
295	0.1799115738
296	0.1793522543
297	0.1792118009
298	0.1787602713
299	0.1783970373
300	0.1782651058
301	0.1779423534
302	0.177638439
303	0.1772966855
304	0.1770438153
305	0.1766167154
306	0.1764282836
307	0.1760194118
308	0.1758951687
309	0.1755158143
310	0.1752080766
311	0.1749828403
312	0.1746321171
313	0.1743253093
314	0.1741022723
315	0.1739755725
316	0.173739624
317	0.1733292572
318	0.1729696011
319	0.1723257436
320	0.1721553569
321	0.1718353784
322	0.1715081454
323	0.1712501419
324	0.1710840237
325	0.1708740442
326	0.1704148387
327	0.1698812799
328	0.1694208713
329	0.169190729
330	0.1689404164
331	0.1687898579
332	0.1685872861
333	0.1683152364
334	0.1679408938
335	0.1673216404
336	0.1670584411
337	0.1668259093
338	0.1661973224
339	0.1660649902
340	0.1656788676
341	0.1652778169
342	0.1648937567
343	0.1645481642
344	0.164284928
345	0.1639497477
346	0.163743734
347	0.1632761974
348	0.1629997828
349	0.1627395581
350	0.1623070039
351	0.162066234
352	0.1617043391
353	0.161552063
354	0.1611088962
355	0.1608106187
356	0.1603699261
357	0.1600842572
358	0.1598885686
359	0.1595870874
360	0.1592778641
361	0.1590888787
362	0.1589229755
363	0.1587863837
364	0.1585996193
365	0.1583378068
366	0.1580367054
367	0.1577691793
368	0.1573003388
369	0.157078462
370	0.1568696227
371	0.1562873477
372	0.1560523528
373	0.1558730991
374	0.1554547019
375	0.1553725223
376	0.1550644606
377	0.1548251876
378	0.1546035119
379	0.1540370254
380	0.1538360045
381	0.1533188449
382	0.1532161561
383	0.152968925
384	0.1527762647
385	0.1524044396
386	0.1521835665
387	0.1517882856
388	0.1515474763
389	0.1514691956
390	0.1511164242
391	0.1509533846
392	0.1508544471
393	0.1503404532
394	0.1501349921
395	0.1499474215
396	0.1497425503
397	0.149474097
398	0.1493118243
399	0.149159846
400	0.1490155759
401	0.1487443595
402	0.147957143
403	0.1477285233
404	0.1475687519
405	0.1472881314
406	0.1470515647
407	0.1469357164
408	0.146599686
409	0.1464302877
410	0.1457984251
411	0.1455699307
412	0.1452841272
413	0.1450281231
414	0.1448683316
415	0.1447504726
416	0.1446155724
417	0.1444081448
418	0.1441029756
419	0.1436428797
420	0.1434086319
421	0.1430368657
422	0.1428912515
423	0.1427159203
424	0.1421107623
425	0.141919524
426	0.1418145476
427	0.1416309625
428	0.1415065726
429	0.1413838147
430	0.1411429228
431	0.1409195125
432	0.1407703187
433	0.1406208577
434	0.1401923373
435	0.1400419465
436	0.1399192047
437	0.1398216368
438	0.1395760576
439	0.1393406281
440	0.1390934434
441	0.1388896574
442	0.1386672547
443	0.1383893829
444	0.1379183124
445	0.1376909237
446	0.1372686818
447	0.1371243041
448	0.136857053
449	0.1366351277
450	0.1362424868
451	0.1360566686
452	0.1357841459
453	0.1356026338
454	0.1355239136
455	0.1352541238
456	0.1351519188
457	0.1350071649
458	0.1347567244
459	0.1346599748
460	0.1344949406
461	0.1340743989
462	0.1338141453
463	0.1335560279
464	0.1332997436
465	0.1330329233
466	0.1326704927
467	0.1324152699
468	0.1322102453
469	0.1320456678
470	0.1319397784
471	0.1317189372
472	0.1315540784
473	0.1313237075
474	0.1311723442
475	0.1310226983
476	0.1309124926
477	0.1307138636
478	0.1304525059
479	0.1303017799
480	0.1299931587
481	0.1297896164
482	0.1295829875
483	0.1292920097
484	0.1291368031
485	0.1288851012
486	0.1287952835
487	0.1286276543
488	0.1283798271
489	0.1280648295
490	0.1278696813
491	0.1278095831
492	0.1276772939
493	0.1274182975
494	0.1273018185
495	0.1269462376
496	0.1267958493
497	0.1265827604
498	0.1263991573
499	0.1261657252
500	0.1259268627
501	0.1257658962
502	0.1256079543
503	0.1255004607
504	0.1253835318
505	0.1252652081
506	0.1249264843
507	0.1247349832
508	0.1243859918
509	0.1242747773
510	0.1241136676
511	0.1239164013
512	0.1237117935
513	0.1234725236
514	0.123183181
515	0.1229859012
516	0.1228063285
517	0.1224794061
518	0.122238703
519	0.1219226586
520	0.1218506952
521	0.1217123184
522	0.1215886246
523	0.1215045514
524	0.121392529
525	0.1212759419
526	0.1212263372
527	0.1210300078
528	0.1209411483
529	0.1206567649
530	0.1204270752
531	0.120046054
532	0.1198040601
533	0.1195582275
534	0.1194619387
535	0.119375335
536	0.1189254194
537	0.1187790396
538	0.1186549187
539	0.1185260618
540	0.1183947177
541	0.1181306502
542	0.1178343857
543	0.1177690007
544	0.1175302649
545	0.1171334392
546	0.1168285875
547	0.1166507818
548	0.1163912235
549	0.1162817639
550	0.1159940672
551	0.1158716282
552	0.1156873036
553	0.1154532339
554	0.115356716
555	0.1150075589
556	0.1148446826
557	0.1147191334
558	0.1145722307
559	0.1144001193
560	0.1142987694
561	0.1139904545
562	0.1139072765
563	0.1136924458
564	0.1135353788
565	0.1134713357
566	0.1133162223
567	0.1132647608
568	0.1130717625
569	0.1128734343
570	0.112641412
571	0.1125226573
572	0.1122549996
573	0.1122046366
574	0.1121355677
575	0.111960718
576	0.1117550085
577	0.1116788455
578	0.1114769565
579	0.1112712447
580	0.111055315
581	0.1109883177
582	0.1109053578
583	0.1107754062
584	0.1106355686
585	0.1105322471
586	0.1104698821
587	0.1102434462
588	0.1101458472
589	0.1100200777
590	0.109724962
591	0.1096354557
592	0.1094978029
593	0.1092470308
594	0.1091373114
595	0.1089547049
596	0.1088169904
597	0.1086070067
598	0.108506925
599	0.108371456
600	0.1080832338
601	0.1080053347
602	0.1078880144
603	0.1076863801
604	0.1075723372
605	0.107471022
606	0.1072437488
607	0.1069915267
608	0.106783253
609	0.1066374022
610	0.1065447849
611	0.1063009526
612	0.10613095
613	0.1059410315
614	0.1058233594
615	0.1056465519
616	0.1053602187
617	0.1052534713
618	0.1051583866
619	0.1050672127
620	0.1049347413
621	0.1048356745
622	0.1047234
623	0.1046690714
624	0.1046298745
625	0.1045420256
626	0.1042172594
627	0.1041407542
628	0.1040622911
629	0.103976028
630	0.1039088368
631	0.1038115796
632	0.1037314119
633	0.1035586287
634	0.1034019095
635	0.1031635137
636	0.1030470723
637	0.1028599821
638	0.102718678
639	0.1026132005
640	0.1024881934
641	0.1024113998
642	0.1022231668
643	0.102075111
644	0.1019101557
645	0.1018199205
646	0.1017225041
647	0.101550497
648	0.1013237856
649	0.1011343568
650	0.1010261815
651	0.1008478478
652	0.1006373529
653	0.1005999925
654	0.1005032607
655	0.1002215474
656	0.1000023865
657	0.09991076194
658	0.09981806938
659	0.09970637572
660	0.09952489816
661	0.09940374222
662	0.0993707385
663	0.09930302725
664	0.09902323501
665	0.09895208142
666	0.09879864849
667	0.09844963014
668	0.09839263727
669	0.09806912834
670	0.09799913524
671	0.09787822048
672	0.0976636954
673	0.0975543827
674	0.09749012313
675	0.09736506598
676	0.0971243213
677	0.0969642665
678	0.09675571602
679	0.09667715447
680	0.09663427102
681	0.09649114889
682	0.09640878814
683	0.09629845102
684	0.09615123669
685	0.09601164354
686	0.09591051435
687	0.09578696703
688	0.09571323608
689	0.09563530819
690	0.09544777045
691	0.09535873692
692	0.09517739684
693	0.0951035827
694	0.09504848597
695	0.09495068987
696	0.09488824421
697	0.09479398055
698	0.09472194329
699	0.09463253961
700	0.09453696515
701	0.09440805169
702	0.09434398949
703	0.09420794019
704	0.09410032989
705	0.09404977675
706	0.09395066145
707	0.09381494597
708	0.09374516242
709	0.093641443
710	0.09340721605
711	0.09330480543
712	0.09311483785
713	0.09303459829
714	0.09289917351
715	0.09285236197
716	0.09263684946
717	0.09253435373
718	0.09244694322
719	0.09239831344
720	0.09232047629
721	0.09214370582
722	0.09201082581
723	0.09182390418
724	0.09179429925
725	0.0915112128
726	0.09116895523
727	0.09109579607
728	0.09099576395
729	0.09091900427
730	0.09084333748
731	0.09069070948
732	0.09044286865
733	0.09016625251
734	0.09007855928
735	0.08994806085
736	0.08965920994
737	0.08935552802
738	0.08923706922
739	0.08914896734
740	0.08908024796
741	0.08903608348
742	0.08898182744
743	0.088796949
744	0.08867770918
745	0.08851965701
746	0.08833663345
747	0.08818778117
748	0.0881484322
749	0.08810808124
750	0.08797438826
751	0.08791544466
752	0.08783133534
753	0.08770758905
754	0.0876456238
755	0.08758197513
756	0.08754790401
757	0.08751782739
758	0.08741989857
759	0.08735807753
760	0.08721429583
761	0.08718757957
762	0.08715614409
763	0.08701270708
764	0.08687291263
765	0.08678938139
766	0.08666456693
767	0.08643465338
768	0.08617561963
769	0.08604444964
770	0.08595677054
771	0.08590152694
772	0.08585149709
773	0.08579284728
774	0.08571667347
775	0.08565119806
776	0.08551766529
777	0.0854732436
778	0.08529791296
779	0.085157361
780	0.08509222815
781	0.08504997272
782	0.08494716806
783	0.08480867919
784	0.084671828
785	0.08463459919
786	0.08456744795
787	0.08441343929
788	0.08428662749
789	0.08420603693
790	0.08389519618
791	0.08376716556
792	0.08368036919
793	0.08359652168
794	0.08354130966
795	0.08349915809
796	0.08340158754
797	0.08323096341
798	0.08303171687
799	0.08288871628
800	0.08283179792
801	0.08266850534
802	0.08260583542
803	0.08252016517
804	0.0824594124
805	0.08242768131
806	0.08232810434
807	0.08219911371
808	0.08213478022
809	0.08190787183
810	0.08169085973
811	0.08162176909
812	0.0815459451
813	0.08146259701
814	0.081385552
815	0.08110261951
816	0.0809767364
817	0.08090487785
818	0.0808036675
819	0.08071612637
820	0.08066950693
821	0.08049364918
822	0.08045144309
823	0.08037919114
824	0.08020801143
825	0.08008736712
826	0.08002879484
827	0.07995881716
828	0.07983819592
829	0.07978145763
830	0.07973632431
831	0.07962061928
832	0.07957396178
833	0.07948965303
834	0.07945745761
835	0.07940439399
836	0.07935918209
837	0.07919465484
838	0.07904655758
839	0.07888535451
840	0.07881172243
841	0.07876622543
842	0.07862666605
843	0.07857143736
844	0.07852091668
845	0.07836231946
846	0.07831222278
847	0.07825402531
848	0.07813245417
849	0.07801835151
850	0.07790030793
851	0.07771103866
852	0.07764635035
853	0.07751698137
854	0.0774463769
855	0.07735738127
856	0.07729592277
857	0.0772168698
858	0.07715111379
859	0.07708660992
860	0.07703370411
861	0.07689734301
862	0.07681848989
863	0.0767324993
864	0.0766770891
865	0.07659408428
866	0.07654635075
867	0.07644019227
868	0.07638401342
869	0.07635176704
870	0.07617230083
871	0.07610805501
872	0.07607185447
873	0.07601380705
874	0.07598343245
875	0.07589975785
876	0.075822905
877	0.0757682188
878	0.07562930476
879	0.07551799745
880	0.07549495076
881	0.07539695358
882	0.07530529428
883	0.0751635679
884	0.07508694407
885	0.07495720314
886	0.07490058171
887	0.07480999063
888	0.07473042544
889	0.07462891047
890	0.07453347432
891	0.07434371686
892	0.07422719011
893	0.07409697941
894	0.07399919607
895	0.07394524799
896	0.07383808013
897	0.0734300654
898	0.07336780706
899	0.07325344022
900	0.07321149269
901	0.07299807223
902	0.07286752257
903	0.07282571899
904	0.07271334135
905	0.0726781941
906	0.07258886662
907	0.07253066091
908	0.07245961526
909	0.07239098737
910	0.07228336398
911	0.07211871215
912	0.07206089994
913	0.07196944215
914	0.07189367661
915	0.07185646265
916	0.07169947113
917	0.07164799005
918	0.07155407453
919	0.07149823248
920	0.0714507912
921	0.07140236983
922	0.0713556921
923	0.07132153622
924	0.07122006715
925	0.07111326405
926	0.07106621084
927	0.07102910932
928	0.07097485505
929	0.07094712915
930	0.07087242634
931	0.07077137059
932	0.07066372231
933	0.0706080164
934	0.0705671101
935	0.07047684226
936	0.07037198566
937	0.07032691374
938	0.07027137025
939	0.07020364205
940	0.07013539002
941	0.07008564926
942	0.07005407936
943	0.06988198998
944	0.06982881928
945	0.06962589926
946	0.06955567354
947	0.06945980492
948	0.06934831466
949	0.06930543419
950	0.06909602201
951	0.06899354837
952	0.0689360951
953	0.06888316348
954	0.06874182232
955	0.06871003675
956	0.06858102831
957	0.06854062135
958	0.06847336567
959	0.06840392197
960	0.06831100113
961	0.06827626528
962	0.06820475771
963	0.06810105644
964	0.06804871022
965	0.0679968734
966	0.06795531911
967	0.06790133556
968	0.06789297048
969	0.06783082515
970	0.06776985569
971	0.06772524378
972	0.06764206248
973	0.0675676
974	0.06750266646
975	0.06735261904
976	0.06727347778
977	0.0672466405
978	0.06715068957
979	0.06711111951
980	0.06702680921
981	0.06694623429
982	0.06690182816
983	0.06686015481
984	0.06673038045
985	0.06663478649
986	0.06656957305
987	0.06646460165
988	0.06642540253
989	0.06637827571
990	0.06631730203
991	0.06616241913
992	0.06610048933
993	0.06603968816
994	0.06594511785
995	0.06583141388
996	0.06578121891
997	0.06568084034
998	0.06561680127
999	0.06556984359
